"","Hotel_City","Review_Date2"
"1348","London",2015-09-23
"1352","London",2015-09-15
"1353","London",2015-09-10
"1354","London",2015-09-09
"1355","London",2015-09-08
"1356","London",2015-09-07
"1361","London",2015-08-30
"1362","London",2015-08-27
"1367","London",2015-08-21
"1369","London",2015-08-15
"1370","London",2015-08-13
"1371","London",2015-08-11
"1373","London",2015-08-07
"1374","London",2015-08-04
"1382","London",2017-07-11
"1390","London",2017-06-19
"1391","London",2017-06-13
"1395","London",2017-06-04
"1399","London",2017-06-01
"1400","London",2017-05-30
"1401","London",2017-05-24
"1404","London",2017-05-15
"1409","London",2017-05-08
"1412","London",2017-05-07
"1417","London",2017-05-02
"1419","London",2017-04-30
"1423","London",2017-04-18
"1424","London",2017-04-16
"1425","London",2017-04-11
"1427","London",2017-04-10
"1428","London",2017-04-07
"1433","London",2017-04-01
"1436","London",2017-03-29
"1437","London",2017-03-28
"1441","London",2017-03-23
"1442","London",2017-03-21
"1446","London",2017-03-19
"1447","London",2017-03-18
"1449","London",2017-03-17
"1450","London",2017-03-14
"1454","London",2017-03-10
"1457","London",2017-03-04
"1459","London",2017-02-23
"1468","London",2017-02-05
"1472","London",2017-01-31
"1482","London",2017-01-19
"1491","London",2017-01-11
"1498","London",2017-01-07
"1500","London",2017-01-06
"1501","London",2017-01-04
"1504","London",2017-01-02
"1505","London",2017-01-01
"1522","London",2016-12-09
"1529","London",2016-11-21
"1530","London",2016-11-20
"1532","London",2016-11-18
"1540","London",2016-11-11
"1541","London",2016-11-09
"1544","London",2016-11-06
"1553","London",2016-10-19
"1554","London",2016-10-18
"1555","London",2016-10-17
"1580","London",2016-09-20
"1585","London",2016-09-13
"1591","London",2016-09-02
"1610","London",2016-08-17
"1614","London",2016-08-12
"1625","London",2016-08-06
"1633","London",2016-07-30
"1634","London",2016-07-29
"1641","London",2016-07-18
"1642","London",2016-07-16
"1649","London",2016-07-11
"1654","London",2016-07-04
"1660","London",2016-06-23
"1663","London",2016-06-19
"1664","London",2016-06-16
"1667","London",2016-06-02
"1674","London",2016-05-30
"1690","London",2016-05-10
"1691","London",2016-05-08
"1699","London",2016-04-30
"1714","London",2016-04-11
"1727","London",2016-03-30
"1739","London",2016-03-16
"1794","London",2016-02-10
"1819","London",2016-01-29
"1828","London",2016-01-20
"1844","London",2016-01-09
"1848","London",2016-01-05
"1867","London",2015-12-23
"1874","London",2015-12-20
"1888","London",2015-12-10
"1904","London",2015-11-29
"1905","London",2015-11-26
"1907","London",2015-11-25
"1911","London",2015-11-23
"1912","London",2015-11-22
"1916","London",2015-11-18
"1923","London",2015-11-06
"1940","London",2015-10-26
"1941","London",2015-10-22
"1943","London",2015-10-21
"1949","London",2015-10-19
"1955","London",2015-10-17
"1956","London",2015-10-15
"1962","London",2015-10-02
"1963","London",2015-09-29
"1972","London",2015-09-21
"1985","London",2015-09-03
"1986","London",2015-09-02
"1990","London",2015-08-29
