,key_update,key_update,key_update,key_update,key_update,key_update,key_update,key_update
18 Avenue De Suffren Entr e au 22 rue Jean Rey 15th arr 75015 Paris France,none,none,none,suite,more_than_one_room,stayed_more_than_a_week,family_trip,paris_view
18 Lodge Road Near Baker Street And Marylebone Westminster Borough London NW8 7JT United Kingdom,none,none,none,suite,double_room,stayed_more_than_a_week,family_trip,none
18 Rue d Antin 2nd arr 75002 Paris France,none,none,none,none,double_room,stayed_less_than_a_week,family_trip,none
18 Rue du Cirque 8th arr 75008 Paris France,none,none,none,suite,more_than_one_room,stayed_less_than_a_week,family_trip,none
18 rue Bachaumont 2nd arr 75002 Paris France,none,none,none,suite,economy,stayed_less_than_a_week,family_trip,none
18 rue Clement Marrot 8th arr 75008 Paris France,none,none,none,suite,economy,stayed_less_than_a_week,family_trip,none
18 rue de Constantinople 8th arr 75008 Paris France,none,none,none,none,double_room,stayed_more_than_a_week,solo,none
181 Cromwell Road Kensington and Chelsea London SW5 0SF United Kingdom,none,none,none,suite,double_room,stayed_more_than_a_week,solo,none
181 Tooley Street Southwark London SE1 2JR United Kingdom,none,none,none,suite,double_room,stayed_less_than_a_week,business_trip,none
185 Boulevard Brune 14th arr 75014 Paris France,none,none,none,none,double_room,stayed_more_than_a_week,group_trip,none
19 21 Gt Marlborough St Westminster Borough London W1F 7HL United Kingdom,none,none,none,none,double_room,stayed_less_than_a_week,family_trip,none
19 21 Penywern Road Kensington and Chelsea London SW5 9TT United Kingdom,none,none,none,none,double_room,stayed_more_than_a_week,family_trip,none
19 25 Granville Place Marble Arch Westminster Borough London W1H 6PA United Kingdom,none,none,none,none,double_room,stayed_more_than_a_week,family_trip,none
19 Boulevard De La Tour Maubourg 7th arr 75007 Paris France,none,none,none,suite,double_room,stayed_less_than_a_week,family_trip,none
